Descripción;SKU;SKU Interno;Unidad de Medida;Precio de Venta Neto;Stock Mínimo;Stock Máximo;Familia;Descripción Detallada;ImpCotizacion;ImpOrdCompra;ImpDescDetEnVentas;ImpDescDetEnCotizaciones;ImpDescDetEnPedidos;Unidad Equivalente;Factor;Cuenta de Ventas;Impuesto;Rentabilidad;PorcRentabilidad;Descuento;DescuentoMax;Producción;Actualiza Stock Ecommerce en línea
Perfil Cuadrado 40x40x1.5mm;PF-40x40-15;;ML;5500;0;0;PERFILES;Perfil Cuadrado Acero Inoxidable 40x40mm Espesor 1.5mm;;S;S;S;S;;;;;;;N;N
Perfil Cuadrado 40x40x2.0mm;PF-40x40-20;;ML;62400;0;0;PERFILES;Perfil Cuadrado Acero Inoxidable 40x40mm Espesor 2.0mm;;S;S;S;S;;;;;;;N;N
Perfil Cuadrado 60x60x2.0mm;PF-60x60-20;;ML;15200;0;0;PERFILES;Perfil Cuadrado Acero Inoxidable 60x60mm Espesor 2.0mm;;S;S;S;S;;;;;;;N;N
Perfil Rectangular 20x40x1.0mm;PF-20x40-10;;ML;0;0;0;PERFILES;Perfil Rectangular Acero Inoxidable 20x40mm Espesor 1.0mm;;S;S;S;S;;;;;;;N;N
Perfil Rectangular 20x40x1.5mm;PF-20x40-15;;ML;0;0;0;PERFILES;Perfil Rectangular Acero Inoxidable 20x40mm Espesor 1.5mm;;S;S;S;S;;;;;;;N;N
Tubo 1 1/2" x1.0mm;TB-112-10;;ML;4693;0;0;TUBOS;Tubo Acero Inoxidable 1 y 1/2 pulgada Espesor 1.0mm;;S;S;S;S;;;;;;;N;N
Tubo 1/2" x1.5mm;TB-12-15;;ML;0;0;0;TUBOS;Tubo Acero Inoxidable 1/2 pulgada Espesor 1.5mm;;S;S;S;S;;;;;;;N;N
Tubo 2" x1.5mm;TB-2-15;;ML;9387;0;0;TUBOS;Tubo Acero Inoxidable 2 pulgadas Espesor 1.5mm;;S;S;S;S;;;;;;;N;N
Tubo 3/4" x1.0mm;TB-34-10;;ML;2266;0;0;TUBOS;Tubo Acero Inoxidable 3/4 pulgada Espesor 1.0mm;;S;S;S;S;;;;;;;N;N
Tubo 3/4" x1.5mm;TB-34-15;;ML;3358;0;0;TUBOS;Tubo Acero Inoxidable 3/4 pulgada Espesor 1.5mm;;S;S;S;S;;;;;;;N;N
Cañería 4mm Espesor;TB-CAN-4;;ML;13038;0;0;TUBOS;Cañería Acero Inoxidable Espesor 4mm;;S;S;S;S;;;;;;;N;N
Cañería 10mm Espesor;TB-CAN-10;;ML;15021;0;0;TUBOS;Cañería Acero Inoxidable Espesor 10mm;;S;S;S;S;;;;;;;N;N
