ID,familia,subfamilia,Unnamed: 3,Product: ID,Product: Handle,Importado,Parte importada,Variable dependiente1,Variable dependiente 2,Variable dependiente 3,subfamilia.1,url,descripcion_web,scrape_status,familia_normalizada,tipo_fabricacion,complejidad,dim_l_mm,dim_w_mm,dim_h_mm,dim_diameter_mm,dim_espesor_mm,dim_pattern,dim_confidence,dim_notes
331088560295,barras-de-apoyo,en-proyecto,,8539137245351,baranda-doble-brd-01001,,,,,,,https://dulox.cl/products/baranda-doble-brd-01001,BARANDA DOBLE CON SUJECIÓN A CRISTAL FABRICADO DE ACERO INOXIDABLE CALIDAD AISI 304-L EN 1.5 MM DE ESPESOR.,ok,Accesorios para Personas con Capacidades Diferentes,fabricado,C3,,,,,1.5,,none,no-dim-found
331088560295,barras-de-apoyo,en-proyecto,,8539137015975,baranda-tensor-brt-01002,,,,,,,https://dulox.cl/products/baranda-tensor-brt-01002,BARANDA DOBLE CON SUJECIÓN A CRISTAL FABRICADO DE ACERO INOXIDABLE CALIDAD AISI 304-L EN 1.5 MM DE ESPESOR.,ok,Accesorios para Personas con Capacidades Diferentes,fabricado,C3,,,,,1.5,,none,no-dim-found
331088560295,construccion,liviano,,8497255055527,sumidero-con-tapa-perforada-400-sumve-0400,,,,,,,https://dulox.cl/products/sumidero-con-tapa-perforada-400-sumve-0400,"SUMIDERO DE 400 MM DE LARGO X 400 MM DE ANCHO X 400 MM DE PROFUNDIDAD, CON TAPA SUPERIOR EN LÁMINA PERFORADA DE 3 MM DE ESPESOR X 30 MM DE ALTURA, CON CANASTILLO INTERIOR Y SALIDA LATERAL DE 4"" DIAMETRO. FABRICADO INTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L EN 1.5MM DE ESPESOR.",ok,Sumideros,fabricado,C1,400.0,400.0,400.0,,3.0,P2_verbose,high,
331088560295,construccion,liviano,,8497255088295,canaleta-con-rejilla-rejcn-0200,,,,,,,https://dulox.cl/products/canaleta-con-rejilla-rejcn-0200,CANALETA CON REJILLA 1000 MM LARGO X 200 MM ANCHO X 80 A 100 MM PROFUNDIDAD. CON SIFÓN EN UN EXTREMO. FABRICADA INTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI-304 EN 1.5 MM DE ESPESOR. REJILLA EN PLETINAS DE 30X2MM ESPESOR.,ok,Sumideros,fabricado,C1,1000.0,,,,1.5,P7a_largo_only,medium,variable-range
331088560295,construccion,pesado,,8539158085799,urinarios,,,,,,,https://dulox.cl/products/urinarios,"URINARIO FABRICACIÓN ÍNTEGRAMENTE EN ACERO INOXIDABLE AISI 304-L, EN 1 MM DE ESPESOR, SALIDA SUPERIOR AL COSTADO  PARA CONEXIÓN A CAÑERÍA. MEDIDAS DE 1000 MM DE LARGO X 300 MM DE ANCHO X 700 DE ALTURA.",ok,Sumideros,fabricado,C2,1000.0,,,,1.0,P7a_largo_only,medium,
331088560295,construccion,liviano,,8497255121063,sumidero-con-tapa-perforada-300-sumve-0300,,,,,,,https://dulox.cl/products/sumidero-con-tapa-perforada-300-sumve-0300,"SUMIDERO DE 300 X 300 X 250MM DE PROFUNDIDAD, CON TAPA SUPERIOR EN LÁMINA PERFORADA DE 3MM DE ESPESOR Y PLETINAS DE 30MM. CON CANASTILLO INTERIOR Y SALIDA DE 75 MM DE DIAMETRO, FABRICADA INTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L EN 1.5MM DE ESPESOR. * DEFINIR SALIDA HORIZONTAL O VERTICAL",ok,Sumideros,fabricado,C1,300.0,300.0,250.0,,3.0,P1_compact,high,
331088560295,construccion,liviano,,8497255153831,sumidero-con-rejilla-sumho-0200,,,,,,,https://dulox.cl/products/sumidero-con-rejilla-sumho-0200,"SUMIDERO 200 X 200 X 200MM PROFUNDIDAD. FABRICADA ÍNTEGRAMENTE EN ACERO INOXIDABLE AISI 304-L EN 1,5MM ESPESOR. SALIDA HORIZONTAL DE 75MMø. REJILLA SUPERIOR EN PLETINAS 18X3MM. CON TAPA DESMONTABLE PARA REGISTRO. CANASTILLO INTERIOR EN MALLA PERFORADA.",ok,Sumideros,fabricado,C1,200.0,200.0,200.0,,1.5,P1_compact,high,
331088560295,construccion,soporte-muro,,8539150287015,moldura-esquinero-mae-01000,,,,,,,https://dulox.cl/products/moldura-esquinero-mae-01000,MOLDURA FABRICADA ÍNTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L. ESCUADRÍA 12 X 12 X 12 MM. ALETAS DE 20 MM,ok,Equipo Industrial,fabricado,C1,12.0,12.0,12.0,,,P1_compact,high,
331088560295,construccion,soporte-muro,,8539150483623,moldura-omega-mao-01000,,,,,,,https://dulox.cl/products/moldura-omega-mao-01000,MOLDURA FABRICADA ÍNTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L. ESCUADRÍA 12 X 12 X 12 MM. ALETAS DE 20 MM.,ok,Equipo Industrial,fabricado,C1,12.0,12.0,12.0,,,P1_compact,high,
331088560295,construccion,soporte-muro,,8539151663271,zocalo-de-acero-inoxidable,,,,,,,https://dulox.cl/products/zocalo-de-acero-inoxidable,ZÓCALO FABRICADO ÍNTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L EN 1 MM DE ESPESOR.,ok,Equipo Industrial,fabricado,C1,,,,,1.0,,none,no-dim-found
