ID,familia,subfamilia,Unnamed: 3,Product: ID,Product: Handle,Importado,Parte importada,Variable dependiente1,Variable dependiente 2,Variable dependiente 3,subfamilia.1
331631886503,accesorios-gastronomicos,accesorio-simple,,8539194392743,bandeja-para-carro-baucb-0178,,,,,,
331631886503,accesorios-gastronomicos,accesorio-simple,,8539194228903,porunas-de-acero-inoxidable,,,,,,
331631886503,accesorios-gastronomicos,accesorio-simple,,8539194065063,porta-conos-de-barquillo-acero-inoxidable-pcb-0120,,,,,,
331631886503,accesorios-gastronomicos,accesorio-simple,,8497280221351,espatula-plancha-plana-espl-00140,,,,,,
331631886503,accesorios-gastronomicos,accesorio-con-mecanismo,,8497280123047,dispensador-de-jugo-dpj-00560,,,,,,
331631886503,accesorios-gastronomicos,deposito-gn,,8497259348135,deposito-gastronomico-fullx100-depfull-0137,,,,,,
331631886503,accesorios-gastronomicos,deposito-gn,,8497259315367,deposito-gastronomico-fullx150-depfull-0208,,,,,,
331631886503,accesorios-gastronomicos,deposito-gn,,8497259282599,deposito-gastronomico-12x100-dep12-0061,,,,,,
331631886503,accesorios-gastronomicos,deposito-gn,,8497259249831,deposito-gastronomico-12x150-dep12-0104,,,,,,
331631886503,accesorios-gastronomicos,deposito-gn,,8497259217063,deposito-gastronomico-13x100-dep13-0041,,,,,,
331631886503,accesorios-gastronomicos,deposito-gn,,8497259184295,deposito-gastronomico-13x150-dep13-0062,,,,,,
331631886503,accesorios-gastronomicos,deposito-gn,,8497259151527,deposito-gastronomico-14x100-dep14-0038,,,,,,
331631886503,accesorios-gastronomicos,deposito-gn,,8497259118759,deposito-gastronomico-14x150-dep14-0047,,,,,,
331631886503,accesorios-gastronomicos,deposito-gn,,8497259085991,deposito-gastronomico-16x100-dep16-0019,,,,,,
331631886503,accesorios-gastronomicos,deposito-gn,,8497259053223,tapa-deposito-gastronomico-12-tdep12-0002,,,,,,
331631886503,accesorios-gastronomicos,deposito-gn,,8497259020455,tapa-deposito-gastronomico-full-tdepfull-0001,,,,,,
331631886503,accesorios-gastronomicos,deposito-gn,,8497258987687,tapa-deposito-gastronomico-13-tdep13-0004,,,,,,
331631886503,accesorios-gastronomicos,deposito-gn,,8497258954919,tapa-deposito-gastronomico-14-tdep14-0005,,,,,,
331631886503,accesorios-gastronomicos,deposito-gn,,8497258922151,tapa-deposito-gastronomico-16-tdep16-0006,,,,,,
331631886503,accesorios-gastronomicos,accesorio-con-mecanismo,,8497258889383,cortadora-de-fiambre,,,,,,
331631886503,accesorios-gastronomicos,accesorio-simple,,8497258856615,espatula-plancha-espl-00150,,,,,,
331631886503,accesorios-gastronomicos,accesorio-con-mecanismo,,8497258791079,dipensador-de-papas-fritas-dpf-230,,,,,,
331631886503,accesorios-gastronomicos,accesorio-con-mecanismo,,8497258758311,cortadora-de-papas-pipp-0395,,,,,,
331631886503,accesorios-gastronomicos,accesorio-simple,,8497258692775,servilletero-chile-acero-inoxidable,,,,,,
331631886503,accesorios-gastronomicos,accesorio-simple,,8497258561703,delantal-cocina-anti-aceite-impermeable,,,,,,
331631886503,accesorios-gastronomicos,accesorio-simple,,8497258528935,jockey-duloxin-jopro-070,,,,,,
331631886503,accesorios-gastronomicos,accesorio-simple,,8497258496167,jockey-duloxin-jopro-060,,,,,,
331631886503,accesorios-gastronomicos,accesorio-simple,,8497258463399,recipiente-gastronomico-policarbonato-13-vollrath-negro,,,,,,
331631886503,accesorios-gastronomicos,accesorio-con-mecanismo,,8497258397863,prensa-hamburguesa-smash-burger-sbur-0125,,,,,,
331600822439,gastronomica,accesorio,,8497281335463,set-tenedor-cuchillo-parrillero-funda-cuero-cafe-kg1901fcc,,,,,,
331600822439,gastronomica,accesorio,,8497281237159,cuchillo-8,,,,,,
