familia,sub-familia,CÓDIGO,PRODUCTO,IMPORTADO
Cocinas Industriales,cocina-wok,COWK-800,Cocina Wok 1 fogon,
Cocinas Industriales,cocina-wok,COWK-1200,Cocina Wok 2 fogones,
Cocinas Industriales,cocina-wok,COWK-1800,Cocina Wok 3 fogones,
Cocinas Industriales,cocina-wok,COWK-2700,Cocina Wok 4 fogones,
Cocinas Industriales,parrilla,HGL-907,Parrilla con Roca Volcánica a Gas,IMPORTADO
Cocinas Industriales,cocina-gas,HGR-905,Cocina 4 Quemadores Gas,IMPORTADO
Cocinas Industriales,cocina-con-horno,HGR-998,Cocina 4 Quemadores con Horno y Plancha Lisa/ Gas,IMPORTADO
Cocinas Industriales,vitrina-caliente,HW-862,Vitrina Caliente 650,IMPORTADO
Cocinas Industriales,vitrina-caliente,HW-863,Vitrina Caliente 900,IMPORTADO
Cocinas Industriales,parrilla,,Parrilla Piloto a Gas,
Cocinas Industriales Eléctricas,cocina-electrica,CCCE-0013,Cocina Eléctrica 4 Quemadores,
Cocinas Industriales Eléctricas,cocina-electrica,CCCE-0014,Cocina Eléctrica 8 Quemadores,
Cocinas Industriales Eléctricas,cocina-electrica,CCCE-0006,Cocina Industrial Eléctrica,
Cocinas Industriales Eléctricas,cocina-induccion,,Cocina de inducción 300,
Cocinas Industriales Eléctricas,cocina-induccion,,Cocina de Inducción 600,
Depósitos Gastronómicos,deposito-gn,DEP1/2-0016,Deposito Gastronomico 1/2X65,IMPORTADO
Depósitos Gastronómicos,deposito-gn,DEP1/2-0061,Deposito Gastronomico 1/2X100,IMPORTADO
Depósitos Gastronómicos,deposito-gn,DEP1/2-0104,Deposito Gastronomico 1/2X150,IMPORTADO
Depósitos Gastronómicos,deposito-gn,DEP1/3-0041,Deposito Gastronomico 1/3X100,IMPORTADO
Depósitos Gastronómicos,deposito-gn,DEP1/3-0062,Deposito Gastronomico 1/3X150,IMPORTADO
Depósitos Gastronómicos,deposito-gn,DEP1/4-0038,Deposito Gastronomico 1/4X100,IMPORTADO
Depósitos Gastronómicos,deposito-gn,DEP1/4-0047,Deposito Gastronomico 1/4X150,IMPORTADO
Depósitos Gastronómicos,deposito-gn,DEP1/6-0019,Deposito Gastronomico 1/6X100,IMPORTADO
Depósitos Gastronómicos,deposito-gn,DEP1/9-0026,Deposito Gastronomico 1/9X100,IMPORTADO
Depósitos Gastronómicos,deposito-gn,DEPFULL-0065,Deposito Gastronomico FULLX65,IMPORTADO
Depósitos Gastronómicos,deposito-gn,DEPFULL-0137,Deposito Gastronomico FULLX100,IMPORTADO
Depósitos Gastronómicos,deposito-gn,DEPFULL-0208,Deposito Gastronomico FULLX150,IMPORTADO
Depósitos Gastronómicos,deposito-gn,DEPFULL-0200,Deposito Gastronomico FULLX200,IMPORTADO
Depósitos Gastronómicos,tapa-deposito,TDEP1/2-0002,Tapa Deposito 1/2,IMPORTADO
Depósitos Gastronómicos,tapa-deposito,TDEP1/3-0004,Tapa Deposito 1/3,IMPORTADO
Depósitos Gastronómicos,tapa-deposito,TDEP1/4-0005,Tapa Deposito 1/4,IMPORTADO
Depósitos Gastronómicos,tapa-deposito,TDEP1/6-0006,Tapa Deposito 1/6,IMPORTADO
Depósitos Gastronómicos,tapa-deposito,TDEP1/9-0007,Tapa Deposito 1/9,IMPORTADO
Depósitos Gastronómicos,tapa-deposito,TDEPFULL-0001,Tapa Deposito Full,IMPORTADO
Estantes,repisa-simple,RMAI-0300,Repisa Simple 300 MM,
Estantes,repisa-simple,RMAI-0400,Repisa Simple 400 MM,
Estantes,repisa-doble,RMAI-1000,Metro Lineal Repisa Doble,
Estantes,repisa-doble,RMAI-1200,Repisa Doble 1200 MM,
Estantes,repisa-especial,SECP-1200,Repisa para Secado de Platos,
Estantes,repisa-especial,RMPC-0820,Repisa Mural Porta Chata,
Estantes,estanteria-especial,EV-1810,Estructura para Vinos,
Estantes,armario,EC2P,Armario Especial Laboratorio 1200 MM,
Estantes,armario,EC3P,Armario Especial Laboratorio 1800 MM,
Estantes,armario,ESTW-0840,Armario W 800,
Estantes,armario,ESTW-1040,Armario W 1000,
Estantes,estanteria-lisa,BAET-0104,Estantería Lisa 900 X 450 MM,
Estantes,estanteria-lisa,BAET-0900,Estantería Lisa 900 X 600 MM,
