familia,sub-familia,CÓDIGO,PRODUCTO,IMPORTADO
Basureros,basurero-especial,BABTRA-0440,Basurero Anti-Vandálico,
Basureros,basurero-simple,BACON-0410,Basurero Modelo Cónico,
Basureros,basurero-simple,BAMU-0600,Basurero Modelo Mural,
Basureros,basurero-con-mecanismo,BANI-0350,Basurero Modelo Nido,
Basureros,basurero-especial,BAPLA-0470,Basurero Modelo Plaza,
Basureros,basurero-especial,BAPRO-0500,Basurero Modelo Providencia,
Basureros,basurero-reciclaje,BARE-0600,Basurero Reciclaje,
Basureros,basurero-reciclaje,BARE-0955,Basurero Reciclaje Bicolor,
Basureros,basurero-reciclaje,BARE-0960,Basurero Reciclaje,
Basureros,basurero-reciclaje,BARE4-01300,Basurero Reciclaje con 4 Compartimientos,
Basureros,basurero-reciclaje,BARE5-01500,Basurero Recilaje con 5 Compartimientos,
Basureros,basurero-reciclaje,BAREE-0320,Módulo de Reciclaje para Oficinas,
Basureros,basurero-reciclaje,BAREN-01300,Contenedor para Reciclaje,
Basureros,basurero-reciclaje,BARSV-01230,Basurero Reciclaje con 3 Compartimientos,
Basureros,basurero-especial,BASTR-0500,Basurero Modelo RedBus,
Basureros,basurero-especial,BASTR-0600,Basurero RedBus Pivotante,
Basureros,basurero-con-mecanismo,BATP-0300,Basurero Rectangular 50Lts,
Basureros,basurero-con-mecanismo,BATYPR-0225,Basurero 225MM,
Basureros,basurero-con-mecanismo,BATYPR-0300,Basurero 300MM,
Basureros,basurero-con-mecanismo,BATYPR-0650,Basurero 650MM,
Basureros,basurero-con-mecanismo,BATYPR-0601,Basurero 601MM,
Basureros,basurero-con-mecanismo,BATYPR-0801,Basurero 800MM,
Basureros,basurero-con-mecanismo,BATYPR-0100,Basurero 100,
Basureros,basurero-con-mecanismo,BAVAD-0500,Basurero Tapa Vaivén Doble,
Basureros,basurero-especial,BM-0700,Basurero Mall Simple,
Basureros,basurero-especial,BMD-1300,Basurero Mall Doble,
Basureros,basurero-especial,BMPE-0250,Basurero Mural para Empotrar,
Basureros,basurero-reciclaje,BRDB-620,Basurero Domestic Transparente,
Basureros,basurero-reciclaje,BRDT-620,Basurero Domestic Bin,
Basureros,basurero-reciclaje,BRPA-0500,Basurero Reciclaje Puerta Abatible,
Basureros,basurero-simple,CEN-0650,Basurero Cenicero,
Basureros,importado,BCPT-103,Basurero 3Lts Tramontina,IMPORTADO
Basureros,importado,BCPT-105,Basurero 5Lts Tramontina,IMPORTADO
Basureros,importado,BCPT-112,Basurero 12Lts Tramontina,IMPORTADO
Basureros,importado,BCPT-120,Basurero 20Lts Tramontina,IMPORTADO
Basureros,importado,BAFOG-0700,Mueble para Basurero (FOOD GARDEN),IMPORTADO
Basureros,importado,BCPT-130,Basurero 30Lts Tramontina,IMPORTADO
Basureros,importado,BCCT-111,Basurero Cenicero Tramontina,IMPORTADO
Basureros,basurero-reciclaje,BRET-0960,Basurero Recilaje con 3 Divisiones,
Basureros,basurero-simple,BEMT-008,Basurero de Empotrar,
Basureros,basurero-con-mecanismo,BCTV-040,Basurero Tapa Vaivén Tramontina,
Basureros,basurero-simple,BDS-0400,Basurero Sin Ruedas Bajo Mesón,
Basureros,basurero-simple,BDC-0400,Basurero Con Ruedas Bajo Mesón,
Basureros,basurero-especial,MES-400,Basurero Exterior By Tramontina,
Basureros,basurero-especial,MOD-500,Basurero Exterior By Tramontina,
Basureros,basurero-con-mecanismo,TRASH BIN RING,Anillo de 245 MM,
Bicicleteros,bicicletero-standard,BCN-01400,Bicicletero Enns,
Bicicleteros,bicicletero-standard,BCN-0600,Bicicletero Linz (Individual),
Bicicleteros,bicicletero-standard,BCN-02000,Bicicletero Wels,
Bicicleteros,bicicletero-standard,BCN-01500,Bicicletero Graz,
Bicicleteros,bicicletero-standard,BCN-01600,Bicicletero Tirol,
Bicicleteros,bicicletero-standard,BCN-01350,Bicicletero Vienna,
Buzón,buzon,BAI-300,Buzón 360MM,
Buzón,buzon,BAI-350,Buzón 350MM,
Buzón,buzon,BEAI-105,Buzón Especial 105MM,
Equipo Industrial,lavabotas,LB-0500,Lavabotas de Acero Inoxidable,
Equipo Industrial,marmita,,Marmita Especial con Anafe y Termostato,
Escalera Piscina,escalera-piscina,EPPC-1940,Escalera para Piscina,
Mudador,especial,,Receptáculo para Mudador,
Números y Letras,numero,,Números Armados 150-230MM,
Números y Letras,numero,,Números Armados 240-270MM,
Números y Letras,numero,,Números Armados 280-350MM,
Números y Letras,numero,,Números Armados 360-440MM,
Números y Letras,numero,,Números Armados 450-560MM,
Números y Letras,letra,,Letras Armadas 150MM,
Números y Letras,letra,,Letras Armadas 350MM,
Números y Letras,letra,,Letras Armadas 960MM,
Peinazo,peinazo,PZ-8503,Peinazo 850X300MM,
Peinazo,peinazo,PZ-8504,Peinazo 850X400MM,
Peinazo,peinazo,PZ-9003,Peinazo 900X300MM,
Protección Escaleras,proteccion-escalera,PEDF-1000,Protección Escala Mecánica,
Protección Escaleras,proteccion-escalera,PEDL-0800,Protección Escala Mecánica,
Protector Anti-Skate,anti-skate,ANS-001,Protector Anti-Skate,
Sillas,silla,SL-02,Silla de Acero Inoxidable N°2,
Sillas,banca,BTCP-2960,Banqueta con 5 Asientos,
Sillas,banca,REDBUS,Banca Transantiago 4 Puestos,
Sillas,silla,SL-01,Silla de Acero Inoxidable N°1,
Soporte Extintor,soporte-extintor,SPE-001,Soporte Extintor Diseño 1,
Soporte Extintor,soporte-extintor,SPE-002,Soporte Extintor Diseño 2,
Soporte Extintor,gabinete-extintor,INC-0700,Gabinete Equipamiento Anti-Incendios,
Sumideros,sumidero-tapa,SUMVE-0300,Sumidero con Tapa Perforada 300,
Sumideros,sumidero-tapa,SUMVE-0400,Sumidero con Tapa Perforada 400,
Sumideros,sumidero-rejilla,SUMHO-0200,Sumidero con Rejilla,
Sumideros,canaleta,REJCN-0300,Canaleta con Rejilla,
Sumideros,canaleta,REJCN-0200,Canaleta con Rejilla,
Sumideros,sumidero-tapa,,Sumidero con Tapa Perforada 500,
Urinarios,urinario,UR-2470,Urinario 1000X700,
Urinarios,urinario,UR-2480,Urinario 800X1000,
Urinarios,urinario,UR-2410,Urinario 1000X1000,
Urinarios,urinario,UR-2412,Urinario 1000X1200,
Urinarios,urinario,UR-1000,Urinario 1000X700,
Urinarios,urinario,UR-3016,Urinario 1000X1600,
Zócalos,zocalo,,Zócalo 100 de Alto con Espesor de 1MM,
Zócalos,zocalo,,Zócalo 150 de Alto con Espesor de 1.5MM,
Zócalos,zocalo,,Zócalo 150 de Alto con Espesor de 1MM,
Zócalos,zocalo,,Zócalo 80 de Alto con Espesor de 1MM,
