familia,subfamilia,codigo,producto,handle,url,descripcion_web,scrape_status,importado_flag,tipo_fabricacion,complejidad,fuente
Accesorios para Personas con Capacidades Diferentes,en-proyecto,,,baranda-doble-brd-01001,https://dulox.cl/products/baranda-doble-brd-01001,BARANDA DOBLE CON SUJECIÓN A CRISTAL FABRICADO DE ACERO INOXIDABLE CALIDAD AISI 304-L EN 1.5 MM DE ESPESOR.,ok,,fabricado,C3,sheet1
Accesorios para Personas con Capacidades Diferentes,en-proyecto,,,baranda-tensor-brt-01002,https://dulox.cl/products/baranda-tensor-brt-01002,BARANDA DOBLE CON SUJECIÓN A CRISTAL FABRICADO DE ACERO INOXIDABLE CALIDAD AISI 304-L EN 1.5 MM DE ESPESOR.,ok,,fabricado,C3,sheet1
Sumideros,liviano,,,sumidero-con-tapa-perforada-400-sumve-0400,https://dulox.cl/products/sumidero-con-tapa-perforada-400-sumve-0400,"SUMIDERO DE 400 MM DE LARGO X 400 MM DE ANCHO X 400 MM DE PROFUNDIDAD, CON TAPA SUPERIOR EN LÁMINA PERFORADA DE 3 MM DE ESPESOR X 30 MM DE ALTURA, CON CANASTILLO INTERIOR Y SALIDA LATERAL DE 4"" DIAMETRO. FABRICADO INTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L EN 1.5MM DE ESPESOR.",ok,,fabricado,C1,sheet1
Sumideros,liviano,,,canaleta-con-rejilla-rejcn-0200,https://dulox.cl/products/canaleta-con-rejilla-rejcn-0200,CANALETA CON REJILLA 1000 MM LARGO X 200 MM ANCHO X 80 A 100 MM PROFUNDIDAD. CON SIFÓN EN UN EXTREMO. FABRICADA INTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI-304 EN 1.5 MM DE ESPESOR. REJILLA EN PLETINAS DE 30X2MM ESPESOR.,ok,,fabricado,C1,sheet1
Sumideros,pesado,,,urinarios,https://dulox.cl/products/urinarios,"URINARIO FABRICACIÓN ÍNTEGRAMENTE EN ACERO INOXIDABLE AISI 304-L, EN 1 MM DE ESPESOR, SALIDA SUPERIOR AL COSTADO  PARA CONEXIÓN A CAÑERÍA. MEDIDAS DE 1000 MM DE LARGO X 300 MM DE ANCHO X 700 DE ALTURA.",ok,,fabricado,C2,sheet1
Sumideros,liviano,,,sumidero-con-tapa-perforada-300-sumve-0300,https://dulox.cl/products/sumidero-con-tapa-perforada-300-sumve-0300,"SUMIDERO DE 300 X 300 X 250MM DE PROFUNDIDAD, CON TAPA SUPERIOR EN LÁMINA PERFORADA DE 3MM DE ESPESOR Y PLETINAS DE 30MM. CON CANASTILLO INTERIOR Y SALIDA DE 75 MM DE DIAMETRO, FABRICADA INTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L EN 1.5MM DE ESPESOR. * DEFINIR SALIDA HORIZONTAL O VERTICAL",ok,,fabricado,C1,sheet1
Sumideros,liviano,,,sumidero-con-rejilla-sumho-0200,https://dulox.cl/products/sumidero-con-rejilla-sumho-0200,"SUMIDERO 200 X 200 X 200MM PROFUNDIDAD. FABRICADA ÍNTEGRAMENTE EN ACERO INOXIDABLE AISI 304-L EN 1,5MM ESPESOR. SALIDA HORIZONTAL DE 75MMø. REJILLA SUPERIOR EN PLETINAS 18X3MM. CON TAPA DESMONTABLE PARA REGISTRO. CANASTILLO INTERIOR EN MALLA PERFORADA.",ok,,fabricado,C1,sheet1
Equipo Industrial,soporte-muro,,,moldura-esquinero-mae-01000,https://dulox.cl/products/moldura-esquinero-mae-01000,MOLDURA FABRICADA ÍNTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L. ESCUADRÍA 12 X 12 X 12 MM. ALETAS DE 20 MM,ok,,fabricado,C1,sheet1
Equipo Industrial,soporte-muro,,,moldura-omega-mao-01000,https://dulox.cl/products/moldura-omega-mao-01000,MOLDURA FABRICADA ÍNTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L. ESCUADRÍA 12 X 12 X 12 MM. ALETAS DE 20 MM.,ok,,fabricado,C1,sheet1
Equipo Industrial,soporte-muro,,,zocalo-de-acero-inoxidable,https://dulox.cl/products/zocalo-de-acero-inoxidable,ZÓCALO FABRICADO ÍNTEGRAMENTE EN ACERO INOXIDABLE CALIDAD AISI 304-L EN 1 MM DE ESPESOR.,ok,,fabricado,C1,sheet1
